,0,1
0,enggak,tidak
1,cuman,cuma
2,trimakasih,terima kasih
3,brang,barang
4,thx you,terima kasih
5,thx,terima kasih
6,thank you,terima kasih
7,thank,terima kasih
8,thankyou,terima kasih
9,thankz you,terima kasih
10,thankz,terima kasih
11,mkasih,terima kasih
12,makasih,terima kasih
13,makas,terima kasih
14,makasihh,terima kasih
15,terimakasi,terima kasih
16,trimakasi,terima kasih
17,trmksh,terima kasih
18,makasii,terima kasih
19,makash,teirma kasih
20,mks,terima kasih
21,mksi,terima kasih
22,brng,barang
23,dtng,datang
24,syuka,suka
25,recomended,rekomendasi
26,tks,terima kasih
27,wrna,warna
28,tq,terima kasih
29,bahanya,bahannya
30,recommended,rekomendasi
31,mantab,mantap
32,mantul,mantap betul
33,mantull,mantap betul
34,mantaf,mantap
35,mantuul,mantap betul
36,mntul,mantap betul
37,paking,packing
38,tak,tidak
39,kulir,kurir
40,dngn,dengan
41,markotop,mantap
42,ngecewain,mengecewakan
43,pket,paket
44,blanja,belanja
45,kwalitas,kualitas
46,sesuay,sesuai
47,sesui,sesuai
48,gmbar,gambar
49,nyampe,sampai
50,hrg,harga
51,peking,packing
52,psen,pesen
53,pngiriman,pengiriman
54,dtang,datang
55,gmbr,gambar
56,pengirimanya,pengirimannya
57,brngnya,barangnya
58,nyampek,sampai
59,ssuai,sesuai
60,cpat,cepai
61,barangx,barangnya
62,tanks,terima kasih
63,puass,puas
64,baguus,bagus
65,lajada,lazada
66,sngat,sangat
67,mesan,pesan
68,nyampai,sampai
69,mntap,mantap
70,psn,pesan
71,pungsi,fungsi
72,abng,bang
73,bguss,bagus
74,pengin,ingin
75,lngganan,langganan
76,trm,terima
77,pkonya,pokoknya
78,alhmdulilah,alhamdulillah
79,recomend,rekomendasi
80,psanan,pesanan
81,ramahh,ramah
82,okk,oke
83,syukaa,suka
84,sgitu,segitu
85,lmyan,lumayan
86,rekomen,rekomendasi
87,kagak,tidak
88,trimksh,terima kasih
89,trma,terima
90,dengn,dengan
91,bangus,bagus
92,thanx you,terima kasih
93,thanx,terima kasih
94,lmyn,lumayan
95,maksh,terima kasih
96,mkasi,terima kasih
97,terimah,terima
98,thks,terima kasih
99,okey,oke
100,pesann,pesan
101,okeh,oke
102,trmksih,terima kasih
103,woww,wow
104,aminn,amin
105,met,selamat
106,netaas,menetas
107,keberpa,keberapa
108,eeeehhhh,eh
109,kata2nyaaa,kata-katanya
110,hallo,halo
111,kaka,kakak
112,ka,kak
113,daah,dah
114,aaaaahhhh,ah
115,yaa,ya
116,smga,semoga
117,slalu,selalu
118,amiin,amin
119,kk,kakak
120,trus,terus
121,sii,sih
122,nyenengin,menyenangkan
123,bgt,banget
124,gemess,gemas
125,akuuu,aku
126,jgn,jangan
127,udah,sudah
128,gitu,begitu
129,aja,saja
130,gemesiin,menggemaskan
131,menyenangkn,menyenangkan
132,rb,ribu
133,akau,aku
134,saranin,menyarankan
135,nemuin,menemukan
136,yah,ya
137,mnis2nya,manis-manisnya
138,gtu,begitu
139,tu,itu
140,idolaa,idola
141,bangett,banget
142,kaakk,kak
143,baaiikkk,baik
144,telaatt,telat
145,kaak,kak
146,yg,yang
147,lg,lagi
148,skarang,sekarang
149,sempet,sempat
150,karna,karena
151,ngga,tidak
152,mantep,mantap
153,loohhh,loh
154,yeee,ya
155,baguuuuus,bagus
156,sampe,sampai
157,ngikutin,mengikuti
158,gayany,gayanya
159,bnk,bang
160,awaas,awas
161,siip,sip
162,abizzzz,habis
163,kerrrrennnn,keren
164,sayaa,saya
165,pengen,pengin
166,kpan,kapan
167,sma,sama
168,sdkit,sedikit
169,bngt,banget
170,lgu,lagu
171,bener2,benar-benar
172,kharismanya,karismanya
173,aq,aku
174,jdi,jadi
175,lgi,lagi
176,gk,tidak
177,kek,kayak
178,lgunya,lagunya
179,kereeeeennnn,keren
180,nyamain,menyamakan
181,lakik,laki
182,siippp,sip
183,bkn,bukan
184,nyangka,menyangka
185,bangettt,banget
186,kereeen,keren
187,wihhhhhh,wih
188,tp,tapi
189,inget,ingat
190,bingitsss,banget
191,dmn,dimana
192,bird,biru
193,kaloo,kalo
194,gimna,bagaimana
195,tuuh,tuh
196,nyebur,mencebur
197,yng,yang
198,dbuat,dibuat
199,kn,kan
200,org,orang
201,pingin,pengin
202,bangcat,bangsat
203,yha,ya
204,waoohhh,wah
205,pngn,pengin
206,tmpt,tempat
207,dhe,deh
208,indahhh,indah
209,bgttt,banget
210,tuhh,tuh
211,berarto,berarti
212,ga,tidak
213,aamiin,amin
214,amiiinn,amin
215,dgn,dengan
216,aminnnn2,amin-amin
217,amiiiin,amin
218,aminnn,amin
219,amiend,amien
220,yaaa,ya
221,ameen,amin
222,aminnnn,amin
223,amiiinnn,amin
224,ngomong,mengomong
225,mamer,memamerkan
226,keles,kali
227,jelase,jelas
228,liat,lihat
229,uwakk,uwak
230,ntar,entar
231,bs,bisa
232,gini,begini
233,salfok,salah fokus
234,njir,anjir
235,piiink,pink
236,astgfrullah,astagfirullah
237,ko,kok
238,cd,celana dalam
239,gbs,enggak bisa
240,bhs,bahasa
241,yaaaaaa,ya
242,gak,tidak
243,bangshad,bangsat
244,stagahhhh,astaga
245,kpn,kapan
246,iooo,lo
247,dy,dia
248,d,di
249,mslh,masalah
250,qt,kita
251,plampiasannn,pelampiasan
252,masalahh,masalah
253,tohh,toh
254,inghinn,ingin
255,dhi,di
256,mengherthii,mengerti
257,yanckh,yang
258,chelalyyu,selalu
259,therchakitty,tersakiti
260,mauuuuu,mau
261,kaliii,kali
262,bangat,banget
263,bkin,bikin
264,dongg,dong
265,yokkk,yuk
266,yu,yuk
267,sweger,segar
268,gantengg,ganteng
269,bingiit,banget
270,kebukaaa,terbuka
271,tpi,tapi
272,keliatan,kelihatan
273,yakk,ya
274,kayakk,kayak
275,asliii,asli
276,kyk,kayak
277,cntiknya,cantiknya
278,bat,banget
279,ngeliatnya,melihatnya
280,sll,selalu
281,bet,banget
282,njerr,anjir
283,bingiiittttzzzz,banget
284,k,ke
285,klo,kalo
286,dooong,dong
287,masi,masih
288,gni,begini
289,hdk,hendak
290,jugaa,juga
291,mksud,maksud
292,aj,saja
293,tetep,tetap
294,mbakx,mbaknya
295,syantik,cantik
296,kite,kita
297,pa,apa
298,mksd,maksud
299,bejilbbnya,berjilbabnya
300,masio,masih
301,yahhh,ya
302,leh,boleh
303,ugaaa,juga
304,jerewi,jerawat
305,ilang,hilang
306,jilbabnyaah,jilbabnya
307,yuuuk,yuk
308,warnaaa,warna
309,punyaaa,punya
310,cantiik,cantik
311,sukaaak,suka
312,kebayanyaa,kebayanya
313,mantes,memantas
314,merekaaaa,mereka
315,jugaaa,juga
316,gilaaaa,gila
317,tiga2nya,tiga-tiganya
318,lucuu,lucu
319,emessss,gemas
320,ucullllll,lucu
321,males,malas
322,bangeettt,banget
323,gemesshh,gemas
324,apaaa,apa
325,ampuunn,ampun
326,ciuuuummmm,cium
327,mbil,sambil
328,ngmng,mengomong
329,ngemeng,mengomong
330,epe,apa
331,seehh,sih
332,yank,sayang
333,ucul,lucu
334,yahh,ya
335,gw,gue
336,ngakak,mengakak
337,astagfirrullah,astagfirullah
338,suerrr,suer
339,mnta,minta
340,syg,sayang
341,ntik,cantik
342,pny,punya
343,dapet,dapat
344,suru,suruh
345,lucuuuu,lucu
346,ketawakkkk,ketawa
347,kyanya,kayanya
348,bnget,banget
349,nakutin,menakutkan
350,malingg,maling
351,cocokk,cocok
352,niihh,nih
353,imutttttt,imut
354,satuuuuu,satu
355,sesekk,sesak
356,nafass,nafas
357,bgtt,banget
358,cintaaaaaaa,cinta
359,lucuk,lucu
360,ma,sama
361,duluu,dulu
362,megang,memegang
363,kawinin,mengawini
364,liatin,perlihatkan
365,ny,nya
366,bdan,badan
367,nyaaa,nya
368,gemesin,menggemaskan
369,fotoin,memfoto
370,ngaku,mengaku
371,kaaa,kak
372,ganteng2,ganteng-ganteng
373,pcarny,pacarnya
374,kri,kiri
375,knpa,kenapa
376,pda,pada
377,cmn,cuman
378,gara2,gara-gara
379,garuk2,garuk-garuk
380,tembokk,tembok
381,namax,namanya
382,kiriii,kiri
383,bungkusin,bungkuskan
384,atu,satu
385,dehhhh,deh
386,kakk,kak
387,ngegantiin,menggantikan
388,alloh,allah
389,smpe,sampai
390,msh,masih
391,trsa,terasa
392,khadirannya,kehadirannya
393,fikiran,pikiran
394,hayalanku,khayalanku
395,bru,baru
396,nton,menonton
397,ngapain,mengapai
398,surgaa,surga
399,kangenn,kangen
400,kgn,kangen
401,kakkkkk,kak
402,rinduuuuuuuuu,rindu
403,ninggalin,meninggalkan
404,smg,semoga
405,terangkhn,terangkan
406,bgtttt,banget
407,knp,kenapa
408,tuk,untuk
409,slama,selama
410,orng,orang
411,bngunlah,bangunlah
412,bngun,bangun
413,ea,ya
414,qu,ku
415,hiri,hari
416,"teman""ny",teman-temannya
417,aza,saja
418,dr,dari
419,alm,almarhum
420,skrg,sekarang
421,sie,sih
422,benet,benar
423,bangetttt,banget
424,tuu,tuh
425,skrang,sekarang
426,gda,enggak ada
427,gantiin,menggantikan
428,kta,kita
429,kklau,kalau
430,acra,acara
431,kasian,kasihan
432,yaaa ,ya
433,bnerr,benar
434,emk,emak
435,temenn,teman
436,pngenn,pengin
437,terkenall,terkenal
438,ajhh,saja
439,sungguh2,sungguh-sungguh
440,mnjadi,menjadi
441,shbt,sahabat
442,bner,benar
443,ktny,katanya
444,dimusiumin,dimuseumkan
445,bntu,bantu
446,dlu,dulu
447,udh,sudah
448,kangem,kangen
449,amiiin,amin
450,smua,semua
451,slmt,selamat
452,jln,jalan
453,"mudh""an",mudah-mudahan
454,tenny,tenang
455,sdh,sudah
456,tnya,tanya
457,blm,belum
458,td,tadi
459,sblm,sebelum
460,bole,boleh
461,lahhh,lah
462,maap,maaf
463,cm,cuma
464,kmrn,kemarin
465,wkt,waktu
466,ama,sama
467,ak,aku
468,lht,lihat
469,biasa2,biasa-biasa
470,mnrtkuu,menurutku
471,trs,terus
472,ikutin,mengikuti
473,jdwl,jadwal
474,wajiiib,wajib
475,aaaammmiiiinnnn,amin
476,dtnggu,ditunggu
477,jan,jangan
478,kunjungin,kunjungi
479,lagiiii,lagi
480,waktunyaaa,waktunya
481,diluangin,diluangkan
482,jga,juga
483,mimin,admin
484,istimewaaa,istimewa
485,blom,belum
486,nangis,menangis
487,"ngaku""",mengaku-ngaku
488,diaa,dia
489,donkk,dong
490,kejawab,terjawab
491,yaaaa,ya
492,seru2an,seru-seruan
493,mohom,mohon
494,kebalas,terbalas
495,nyempetin,menyempatkan
496,wktunya,waktunya
497,kaaaa,kak
498,ngobrol,mengobrol
499,namain,namai
500,bls,balas
501,ijap,ijab
502,kobul,kabul
503,co,cowok
504,pst,pasti
505,inggat,ingat
506,brdua,berdua
507,masing2,masing-masing
508,sanggat,sangat
509,siipp,sip
510,laa,lah
511,dlm,dalam
512,hdup,hidup
513,hdp,hidup
514,kedpan,kedepan
515,smoga,semoga
516,mndaptkan,mendapatkan
517,"nutup""in",menutup-nutupi
518,iyah,iya
519,sja,saja
520,kakkk,kak
521,za,saja
522,mulut2,mulut-mulut
523,peengn,pengin
524,tuch,tuh
525,muantteepp,mantap
526,cpt,cepat
527,mrit,merit
528,y,ya
529,ngapasih,mengapa sih
530,ni,nih
531,segitunya,sebegitunya
532,fto,foto
533,pke,pakai
534,sisain,menyisakan
535,slamt,selamat
536,nantiii,nanti
537,edaaan,edan
538,emg,memang
539,tunggu2,tunggu-tunggu
540,sehat2,sehat-sehat
541,ciyeeeeeee,cie
542,pantes,pantas
543,lairannya,kelahirannya
544,jmnya,jamnya
545,ajha,saja
546,nyaaaa,nya
547,nyari,mencari
548,amiien,amien
549,terbaikkk,terbaik
550,ayahh,ayah
551,ae,saja
552,ndak,indak
553,ngerti,mengerti
554,mrekaaaa,mereka
555,yaampuuuunnnn,ya ampun
556,nyanyiin,menyanyikan
557,ahhh,ah
558,pgen,pengin
559,tempt,tempat
560,kh,kah
561,bgini,begini
562,brani,berani
563,km,kamu
564,jalan2,jalan-jalan
565,asyikkkkk,asyik
566,iriiiii,iri
567,ngajak,mengajak
568,naaaaahh,nah
569,kka,kakak
570,yak,ya
571,ttep,tetap
572,sperti,seperti
573,jrang,jarang
574,msuk,masuk
575,gossip2.an,gosip-gosipan
576,makkk,mak
577,guee,gue
578,pengennn,pengin
579,gilzz,gila
580,nyaru,menyaru
581,gilaaa,gila
582,jd,jadi
583,kebarat2an,kebarat-baratan
584,ohh,oh
585,mantabs,mantab
586,jgan,jangan
587,mlu,melulu
588,payahh,payah
589,ntaf,mantap
590,beneran,benaran
591,"mudah""n",mudah-mudahan
592,gada,enggak ada
593,milikin,memiliki
594,kamo,kamu
595,inih,ini
596,sukaaaa,suka
597,sukaaaaaa,suka
598,kirain,mengira
599,mehoonggggg,mahal
600,apikkkk,apik
601,yach,ya
602,kereenn,keren
603,ginii,begini
604,ayoook,ayo
605,yoiii,yoi
606,gituuu,begitu
607,iyaaa,iya
608,pgn,pengin
609,liptsk,lipstik
610,nyeplak,menjiplak
611,cw,cewek
612,kmarin,kemarin
613,mengncang,mengencang
614,tauu,tau
615,ksh,kasih
616,skrng,sekarang
617,mksh,terima kasih
618,ank,anak
619,skitar,sekitar
620,ktmu,ketemu
621,tmen,teman
622,ats,atas
623,donk,dong
624,heii,hai
625,diputusin,diputuskan
626,pcrnya,pacarnya
627,mnjual,menjual
628,ngadain,mengadakan
629,kkak,kakak
630,rekomendasiin,rekomendasikan
631,sihhh,sih
632,cooocok,cocok
633,mrip,mirip
634,mama.nyy,mamanya
635,bosenin,membosankan
636,kmu,kamu
637,bukn,bukan
638,sey,sih
639,cantikkk,cantik
640,banger,banget
641,kaa,kak
642,eakyu,waktu
643,cntik,cantik
644,kakanya,kakaknya
645,doeloe,dulu
646,cantikkkk,cantik
647,bngtt,banget
648,iyak,iya
649,malh,malah
650,mlah,malah
651,ngak,tidak
652,laki2,laki-laki
653,gag,tidak
654,fhotonya,fotonya
655,bleh,boleh
656,brp,berapa
657,tnggl,tanggal
658,tanteny,tantenya
659,ky,kaya
660,sklinyaa,sekalinya
661,ayoo,ayo
662,w,gue
663,dramaa,drama
664,niiih,nih
665,bisaa,bisa
666,lha,lah
667,dunk,dong
668,lihaat,lihat
669,yuwkkk,yuk
670,nnti,nanti
671,editannn,editan
672,mw,mau
673,thu,itu
674,mai,mau
675,kamuu,kamu
676,pastii,pasti
677,bisaaa,bisa
678,kejuu,keju
679,kereen,keren
680,nama.a,namanya
681,kmauan,kemauan
682,ahhhh,ah
683,yuuuuk,yuk
684,dmana,dimana
685,disiniii,disini
686,cobaa,coba
687,bayangin,bayangkan
688,yaudh,ya sudah
689,dl,dulu
690,ajaaa,saja
691,tuhhh,tuh
692,amploppp,amplop
693,mo,mau
694,sayangg'',sayang-sayang
695,nantii,nanti
696,aminnnnn,amin
697,gakuat,enggak kuat
698,yukkkk,yuk
699,nged,banget
700,nantik,nanti
701,ksitu,kesitu
702,bangeett,banget
703,liad,lihat
704,kluarga,keluarga
705,biasahhh,biasa
706,tutorialx,tutorialnya
707,dpke,dipakai
708,fhoto,foto
709,kerenn,keren
710,binggo,banget
711,rekomndd,rekomendasi
712,bli2n,beli-belikan
713,bwt,buat
714,wado,waduh
715,guaa,gua
716,yaakkk,ya
717,bangetttttyt,banget
718,bangettttt,banget
719,bangg,bang
720,kangeeeeeeeeennnnnnnn,kangen
721,kaliannnnnn,kalian
722,rinduuuuuuuuuu,rindu
723,kangennnnnmnnnnnnnnnnnnnnnnn,kangen
724,kaliannnnnm,kalian
725,kangeeeeeeeeeeennnnn,kangen
726,kangennnnnnnnnnnnnnnn,kangen
727,kangennn,kangen
728,kaliannnnnnn,kalian
729,th2,tahun-tahun
730,smpt,sempat
731,blg,bilang
732,trserah,terserah
733,ad,ada
734,cwo,cowok
735,prnah,pernah
736,wlwpun,walaupun
737,trpsah,terpisah
738,klw,kalau
739,mmg,memang
740,prsatukn,persatukan
741,g,tidak
742,slh,salah
743,ngomng,mengomong
744,mdh2an,mudah-mudahan
745,sm,sama
746,skedar,sekadar
747,kangeeerrn,kangen
748,pulak,pula
749,terrrrbaik,terbaik
750,jorookknya,joroknya
751,ihhhhh,ih
752,padahall,padahal
753,jorokkkk,jorok
754,mualll,mual
755,klow,kalau
756,muke,muka
757,ajh,saja
758,taiiii,tahi
759,seneeeeeng,senang
760,nyesel,menyesal
761,besarin,membesarkan
762,tanyang,tayang
763,ber2,berdua
764,jngan,jangan
765,ngelarang,melarang
766,kerreeen,keren
767,pantess,pantas
768,bngettt,banget
769,baperr,bawa perasaan
770,sudh,sudah
771,sbr,sabar
772,pngen,pengin
773,nntn,menonton
774,ht,hati
775,pemainy,pemainnya
776,jg,juga
777,aqu,aku
778,ngeliat,melihat
779,baper,bawa perasaan
780,akn,akan
781,kbawa,terbawa
782,bradegan,beradegan
783,amiiinnnn,amin
784,mlm,malam
785,nikahin,menikahi
786,hadeuh,aduh
787,nyambung,menyambung
788,liyat,lihat
789,krn,karena
790,sk,suka
791,adengan,adegan
792,engga,tidak
793,bingit,banget
794,dapetin,mendapatkan
795,model2,model-model
796,sitayngin,ditayangkan
797,cocokkk,cocok
798,mahhhh,mah
799,cocokny,cocoknya
800,iniw,ini
801,q,ku
802,setju,setuju
803,bnern,benaran
804,pcrn,pacaran
805,klian,kalian
806,cocokkkk,cocok
807,bngett,banget
808,abes,habis
809,br,baru
810,mksdny,maksudnya
811,brpa,berapa
812,ihh,ih
813,kesampean,kesampaian
814,beginiiii,begini
815,ntr,entar
816,beliin,belikan
817,kya,kaya
818,keq,kayak
819,ngerasa,merasa
820,sygkuu,sayangku
821,ngeselin,mengesalkan
822,baju'a,bajunya
823,gara'',gara-gara
824,teruss,terus
825,pokok'a,pokoknya
826,bg,bang
827,ubur2,ubur-ubur
828,kuyy,yuk
829,bentarr,bentar
830,dureen,duren
831,ajibb,ajib
832,mahall,mahal
833,yukk,yuk
834,niiihh,nih
835,imuuttt,imut
836,imuttzz,imut
837,nha,nya
838,konten2,konten-konten
839,rasain,merasai
840,daaaah,deh
841,asliiii,asli
842,cantiknnnnyaaaaaaa,cantiknya
843,yuuk,yuk
844,ngelihatnya,melihatnya
845,bdn,badan
846,na,nya
847,ibu2,ibu-ibu
848,lau,kau
849,cantikk,cantik
850,sexxi,seksi
851,bulet,bulat
852,ituu,itu
853,ngocok,mengocok
854,nyoba,mencoba
855,gn,begini
856,yaahhh,ya
857,kencqng,kencang
858,kra,kira
859,diginikan,dibeginikan
860,"coret""",coret-coret
861,lahh,lah
862,gambarin,gambarkan
863,ngerii,ngeri
864,digambarin,digambarkan
865,klen,kalian
866,bangke,bangkai
867,kog,kok
868,liatnya,lihatnya
869,bedanyaaa,bedanya
870,negri,negeri
871,mbk,mbak
872,pgin,pengin
873,krudungan,kerudungan
874,ajaa,saja
875,maksutku,maksudku
876,kerennnnn,keren
877,njirr,anjir
878,jd'y,jadinya
879,manisnyaaaa,manisnya
880,thun,tahun
881,mbg,mbak
882,bangeet,banget
883,ngaco,mengaco
884,ngomen,mengomentari
885,kaaakk,kak
886,gituh,begitu
887,tenggah,tengah
888,uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
889,kocakkkkkkkkkkkkkk,kocak
890,ksukaanmuuu,kesukaanmu
891,bagiii,bagi
892,ayooo,ayo
893,nontonx,menontonnya
894,dpn,depan
895,pi,tapi
896,penasarannnn,penasaran
897,gilakkkkkk,gila
898,mauuu,mau
899,nontoonnn,menonton
900,cepet2,cepat-cepat
901,kepingin,pengin
902,nontonnnn,menonton
903,deeek,dek
904,ntappp,mantap
905,deg2an,deg-degan
906,cyiiin,cinta
907,iyha,iya
908,kureeeen,keren
909,muantaap,mantap
910,pake,pakai
911,ngantri,mengantri
912,bli,beli
913,nraktir,mentraktir
914,nonton,menonton
915,sbnyak,sebanyak
916,penasaraaann,penasaran
917,ayoooo,ayo
918,nii,ini
919,nontonya,menontonnya
920,kl,kalo
921,nunggu,menunggu
922,dpt,dapat
923,qta,kita
924,peen,pengin
925,lw,kalau
926,gga,tidak
927,yaah,ya
928,asikkk,asik
929,gilak,gila
930,mcm,macam
931,ceritax,ceritanya
932,yoooiii,yoi
933,kuy,yuk
934,udahh,sudah
935,tauuuuu,tau
936,sabarrrrr,sabar
937,kqmu,kamu
938,banggain,banggakan
939,thn,tahun
940,pengan,pengin
941,sendeng,senang
942,simpen,simpan
943,gakk,tidak
944,bagiin,membagikan
945,nanggepin,menanggapi
946,kapn,kapan
947,barang2,barang-barang
948,kirimin,mengirimi
949,senengin,senangi
950,ngasih,mengasih
951,ampunnnn,ampun
952,bln,bulan
953,senengg,senang
954,teruzzz,terus
955,mantabb,mantab
956,sumpahh,sumpah
957,diluarann,diluaran
958,trbaik,terbaik
959,dlam,dalam
960,anjirrrr,anjir
961,jendess,janda
962,dh,dah
963,sichh,sih
964,namnya,namanya
965,geh,gih
966,nggak,tidak
967,22nya,dua-duanya
968,aduuhhh,aduh
969,miripp,mirip
970,silauuu,silau
971,waww,wow
972,uga,juga
973,njiirr,anjir
974,bgs,bagus
975,kesinii,kesini
976,gemay,gemas
977,dstu,disitu
978,wiiiihhhh,wih
979,samoga,semoga
980,kereennn,keren
